"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
0,1,"54.386044444444, 18.632763333333",0,99028
0,1,"54.386417777778, 18.633911111111",0,98078
0,1,"54.38616, 18.63257",0,99032
0,1,"54.387035555556, 18.634068888889",0,98480
0,1,"54.390724444444, 18.637256666667",0,98839
0,1,"54.356337777778, 18.720715555556",0,99227
0,1,"54.410604444444, 18.602871111111",0,99204
0,1,"54.381942222222, 18.586406666667",0,600257
0,1,"54.386173333333, 18.632928888889",0,98648
0,1,"54.387231111111, 18.633516666667",0,98854
0,1,"54.422111111111, 18.468941111111",0,98549
0,1,"54.427595555556, 18.526441111111",0,99086
12000,4,"54.520252323333, 18.532201478333",15,"98742,98532,98507,98169"
12001,1,"54.507912368333, 18.536178311667",20,98148
12002,2,"54.46922833, 18.507924798333",23,"98695,98675"
12004,1,"54.520287661667, 18.529295375",15,98031
12005,0,"54.534724408333, 18.494318798333",6,
12003,0,"54.524362743333, 18.51763204",10,
12006,6,"54.492193861667, 18.538718085",20,"98527,98379,98225,98987,98805,98802"
12007,2,"54.49663118, 18.533519968333",10,"600304,600205"
12008,1,"54.476037991667, 18.55072848",0,98343
12009,2,"54.541235831667, 18.477931858333",11,"98624,99049"
12010,4,"54.545166536667, 18.463100815",0,"98488,98360,98205,98826"
12011,4,"54.549359846667, 18.44518596",15,"98630,98599,98149,600372"
12013,0,"54.473671061667, 18.484410436667",10,
12014,0,"54.464024688333, 18.487253615",6,
12015,3,"54.464718233333, 18.496876071667",10,"98327,98885,600297"
12016,0,"54.469777223333, 18.499841266667",10,
12017,0,"54.475762753333, 18.516336721667",5,
12018,0,"54.507986051667, 18.549145593333",5,
12019,7,"54.484739508333, 18.545981571667",15,"98505,98007,99198,99187,98963,98962,98819"
12020,0,"54.473917455, 18.499817931667",5,
12021,3,"54.507771986667, 18.534157078333",5,"98713,98432,98396"
12022,0,"54.509598776667, 18.53741219",5,
12023,1,"54.508373955, 18.544570766667",5,98749
12024,1,"54.50252488, 18.558589853333",0,98559
12025,0,"54.470636276667, 18.502239158333",5,
12026,1,"54.509015168333, 18.539044975",5,99128
12027,12,"54.48964458195, 18.55469584465",13,"98594,98516,98495,98184,98113,98016,99062,98955,98925,98860,98833,98810"
12028,0,"54.471900003333, 18.49611335",5,
12029,1,"54.481430988333, 18.531408808333",10,98849
12030,3,"54.489970728333, 18.545221718333",7,"98452,98097,99099"
12031,1,"54.473145741667, 18.55437606",5,98761
12032,0,"54.499009771667, 18.54921555",6,
12033,6,"54.480053403333, 18.563578985",10,"98567,98496,98164,99131,98917,600023"
12034,0,"54.49717096, 18.54161189",5,
12035,2,"54.494389393333, 18.552290876667",15,"98869,600238"
12036,0,"54.467799168333, 18.493356083333",6,
12037,0,"54.47369811, 18.49003852",5,
12038,3,"54.483536498333, 18.538175055",20,"98750,98564,98475"
12039,1,"54.519152343333, 18.542210423333",15,
12040,1,"54.511929661667, 18.532328561667",5,98814
12042,1,"54.52208112, 18.534892156667",10,99142
12043,2,"54.519761513333, 18.538789535",15,"98731,99100"
12044,0,"54.51475851, 18.531403895",10,
12045,2,"54.544729036667, 18.458442758333",0,98946
12046,6,"54.53269881, 18.517047113333",10,"98635,98380,98099,98857,98799,600332"
12047,4,"54.53272314, 18.546689768333",10,"98728,98647,600276,600171"
12048,1,"54.522292056667, 18.543043521667",10,99134
12049,0,"54.516571558333, 18.543420531667",5,
12050,0,"54.512503988333, 18.53751347",0,
12051,4,"54.516084001667, 18.53822114",5,"98582,99318,98957,98768"
12052,2,"54.518647403333, 18.558288278333",15,"98298,98189"
12053,1,"54.51633152, 18.548323465",5,98692
12054,1,"54.519603206667, 18.546876518333",11,98082
12055,0,"54.465521053333, 18.48257224",10,
12056,1,"54.467894288333, 18.487677698333",5,99121
12057,1,"54.471334221667, 18.49005394",10,98868
12058,2,"54.514886563333, 18.540173213333",10,"98879,98770"
12059,0,"54.526450995, 18.519073385",5,
12061,1,"54.54867723, 18.521985195",10,99237
12062,1,"54.562948908333, 18.481042885",11,98777
12063,5,"54.54302758, 18.465754575",5,"98725,98870,98783,600269,600162"
12064,0,"54.54915952, 18.530472305",13,
12065,1,"54.546263336667, 18.550519563333",6,99065
12066,3,"54.559217708333, 18.471917468333",5,"98259,98208,99139"
12067,1,"54.54908856, 18.547834406667",5,98378
